area_type,availability,location,size,society,total_sqft,bath,balcony,price,lat,lon
Super built-up  Area,Ready To Move,Chandapura,2 BHK,Arhid O,800,2.0,1.0,25.0,17.4436387,77.433391
Super built-up  Area,20-Dec,Electronic City,4 BHK,KonteiT,2093,4.0,1.0,104.0,-6.1938201,106.8920008
Super built-up  Area,18-Oct,Uttarahalli,3 BHK,,1320,2.0,2.0,55.44,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1275,2.0,1.0,73.0,12.8870547,77.5969483
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1215,2.0,2.0,43.13,12.8746006,77.6255106
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,,1130,2.0,1.0,45.2,12.5450268,77.4199095
Super built-up  Area,Ready To Move,Begur Road,3 BHK,MJilayl,1444,2.0,2.0,71.5,12.8746006,77.6255106
Super built-up  Area,Ready To Move,Vikram Nagar,2 BHK,Ranorar,950,2.0,2.0,38.0,23.161783,75.8179959
Super built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,,1240,2.0,2.0,59.52,12.9401275,77.5508062
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,600,4.0,2.0,125.0,2nd Stage Nagarbhavi,2nd Stage Nagarbhavi
Super built-up  Area,Ready To Move,Hennur,2 BHK,Adity T,1231,2.0,2.0,50.0,13.0258087,77.6305067
Super built-up  Area,Ready To Move,Benson Town,2 BHK,,1300,2.0,1.0,120.0,12.997803,77.6041749
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1713,3.0,2.0,110.0,13.021834550000001,77.54768594156756
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1200,2.0,1.0,53.33,13.104198,77.6170849
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,1310,2.0,0.0,46.0,13.4010184,77.8999295
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Kuownri,790,2.0,1.0,49.5,11.9917786,76.5066292
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Proodt ,1744,3.0,1.0,200.0,13.2923988,77.7519261
Super built-up  Area,Ready To Move,Amblipura,3 BHK,,1605,3.0,2.0,100.0,Amblipura,Amblipura
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1250,2.0,2.0,82.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2476,3.0,3.0,337.0,13.0027353,77.5703253
Built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1260,2.0,2.0,76.0,12.9149767,77.5609318
Super built-up  Area,18-Aug,Rajaji Nagar,3 BHK,ProdsWe,1615,3.0,1.0,175.0,18.0142278,79.55262448961471
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1180,2.0,1.0,56.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1255,2.0,2.0,50.19,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,53.9,-6.1938201,106.8920008
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1877,4.0,2.0,150.0,12.9252241,77.6367015
Built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1649,3.0,2.0,150.0,Lakshminarayana Pura,Lakshminarayana Pura
Built-up  Area,Ready To Move,Hennur,5 Bedroom,,2500,5.0,2.0,125.0,13.0258087,77.6305067
Built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,,1542,3.0,2.0,98.0,12.8513284,77.5999002
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,105.0,13.0137105,77.4834544
Built-up  Area,Ready To Move,Sarvabhouma Nagar,2 BHK,BhncyRe,1012,2.0,0.0,42.0,Sarvabhouma Nagar,Sarvabhouma Nagar
Plot  Area,Ready To Move,Chandapura,2 Bedroom,,1200,2.0,1.0,65.0,17.4436387,77.433391
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2.0,2.0,43.0,12.9252241,77.6367015
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,VVbhion,1680,4.0,3.0,95.0,12.9269039,77.6701877
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Saesttt,1171,2.0,2.0,72.0,13.0460773,77.7503908
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Sahtsva,1027,2.0,1.0,68.62,13.0156809,77.554045
Super built-up  Area,Ready To Move,Shampura,3 BHK,,1700,3.0,3.0,75.0,21.2435389,73.1079204
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1090,2.0,2.0,38.15,12.5450268,77.4199095
Super built-up  Area,18-Jan,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,74.0,13.0258087,77.6305067
Super built-up  Area,Ready To Move,Anekal,2 BHK,,766,2.0,2.0,28.0,12.799122,77.68060437921743
Plot  Area,Ready To Move,Banashankari Stage III,5 Bedroom,,1200,5.0,0.0,180.0,12.9245925,77.5645639
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,27.0,26.9291996,75.703282
Super built-up  Area,18-Aug,Hosa Road,3 BHK,Sosisic,142.61Sq. Meter,3.0,1.0,109.0,12.8747372,77.668964
Built-up  Area,Ready To Move,JP Nagar,3 BHK,,1452,2.0,1.0,41.0,12.2655944,76.6465404
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,Aharlve,1254,2.0,1.0,65.0,12.8921555,77.680378
Built-up  Area,Ready To Move,MS Pallya,5 Bedroom,,3600,5.0,0.0,110.0,MS Pallya,MS Pallya
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,Soazak ,1593,3.0,1.0,118.0,26.9291996,75.703282
Super built-up  Area,Ready To Move,ITI Layout,2 BHK,Soarkge,1333,2.0,2.0,77.27,13.0045212,77.6070383
Built-up  Area,Ready To Move,Herohalli,3 Bedroom,,1100,3.0,1.0,110.0,12.9912345,77.4870119
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Lancyey,1375,2.0,1.0,54.99,17.3347866,78.6008776
Super built-up  Area,Ready To Move,Ardendale,3 BHK,Mahtsba,1650,3.0,3.0,82.0,13.026135,77.76638437071601
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,51.48,13.054713,77.6339258
Built-up  Area,Ready To Move,Electronic City,2 BHK,Pao 3ow,940,2.0,1.0,54.0,-6.1938201,106.8920008
Super built-up  Area,Ready To Move,Electronic City,1 BHK,GMown E,435,1.0,1.0,21.0,-6.1938201,106.8920008
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,36.54,12.8746006,77.6255106
Super built-up  Area,18-Mar,Electronic City,3 BHK,GMown E,1500,2.0,1.0,77.5,-6.1938201,106.8920008
Super built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1890,2.0,1.0,100.0,13.2923988,77.7519261
Built-up  Area,Ready To Move,Doopanahalli,2 BHK,,1050,2.0,1.0,70.0,12.9674584,77.6396382
Plot  Area,Ready To Move,Singasandra,6 Bedroom,,1200,6.0,3.0,220.0,12.6477419,77.3625356
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2.0,2.0,43.0,12.8922203,77.6558048
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Stndeil,3000,4.0,2.0,235.0,13.387352,77.9543375
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Soubya ,1459,2.0,1.0,95.0,13.0156809,77.554045
Super built-up  Area,21-Mar,Yelahanka,3 BHK,Goues A,1711,3.0,3.0,85.61,13.1006982,77.5963454
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,98.0,12.9919033,77.7162015
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,17.4436387,77.433391
Plot  Area,Ready To Move,Anandapura,2 Bedroom,,875,2.0,1.0,57.0,14.0771569,75.2124556
Built-up  Area,18-Feb,Ramamurthy Nagar,2 BHK,,1334,2.0,1.0,67.0,13.0120218,77.6777817
Built-up  Area,18-Dec,Huskur,2 BHK,,1140,2.0,1.0,32.92,12.8607674,77.7071019
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2.0,2.0,50.0,12.9252241,77.6367015
Plot  Area,Ready To Move,Amruthahalli,3 Bedroom,,1200,5.0,2.0,200.0,13.0665131,77.5966238
Super built-up  Area,18-Aug,Rajaji Nagar,3 BHK,ProdsWe,1776,3.0,1.0,190.0,18.0142278,79.55262448961471
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,160.0,13.0137105,77.4834544
Plot  Area,Ready To Move,Kundalahalli,3 Bedroom,Roima A,1600,3.0,2.0,170.0,12.9684441,77.7187843
Plot  Area,Ready To Move,Lakshmi Layout,6 Bedroom,,1200,4.0,2.0,115.0,13.327256049999999,76.24955159585994
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,920,2.0,3.0,39.0,12.9159785,77.48243125
Super built-up  Area,19-Feb,Chandapura,2 BHK,PavesGr,598 - 958,2.0,0.0,25.29,17.4436387,77.433391
Plot  Area,Ready To Move,Nagasandra,4 Bedroom,,1310,3.0,3.0,95.0,13.6529762,77.4971707
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1631,3.0,2.0,80.0,-6.1938201,106.8920008
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,27.5,26.9291996,75.703282
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Reodsnc,1395,3.0,3.0,82.0,11.9917786,76.5066292
Super built-up  Area,Ready To Move,Devi Nagar,3 BHK,Krtonwe,2000,3.0,2.0,105.0,26.8843006,75.7619873
Super built-up  Area,18-Jul,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,66.0,13.0258087,77.6305067
Super built-up  Area,Ready To Move,Virupakshapura,2 BHK,,1075,2.0,1.0,55.0,13.3026814,77.946622
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,MauilTr,1205,2.0,2.0,70.0,12.8856635,77.5416809
Plot  Area,Ready To Move,Muthyala Nagar,4 Bedroom,,1200,4.0,2.0,165.0,13.0436945,77.5532171
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340,5.0,1.0,129.0,19.532886,79.3190092
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,Amlisai,1179,2.0,1.0,55.0,12.9991538,78.3987029
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1013,2.0,1.0,51.0,Kodigehaali,Kodigehaali
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1160,2.0,2.0,40.6,12.9055682,77.5455438
Plot  Area,Ready To Move,Thyagaraja Nagar,8 Bedroom,,1500Cents,6.0,2.0,290.0,12.931392,77.5683011
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Hiestre,1200,2.0,2.0,62.5,12.91180425,77.5874942
Plot  Area,Ready To Move,Nrupathunga Nagar,7 Bedroom,,1200,5.0,0.0,80.0,12.8829972,77.5837803
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1255,2.0,3.0,50.19,12.9055682,77.5455438
Built-up  Area,Ready To Move,Richmond Town,3 BHK,,1100,2.0,1.0,145.0,12.9626925,77.6041603
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2.0,1.0,55.0,12.979363,77.7907328
Plot  Area,Ready To Move,Kyalasanahalli,3 Bedroom,Ceonyy ,1200,3.0,2.0,99.0,13.0564575,77.6591321
Super built-up  Area,Ready To Move,Kudlu Gate,1 BHK,,1400,1.0,1.0,285.0,12.8895775,77.6394582
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Inden O,1065,2.0,2.0,55.0,12.9552572,77.6984163
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,BVeneSe,1395,2.0,0.0,75.0,Lakshminarayana Pura,Lakshminarayana Pura
Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1725,2.0,1.0,165.0,13.0521017,77.6018107
Built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,Naenti ,1007,2.0,2.0,43.0,13.0642961,77.50101385977811
Built-up  Area,Ready To Move,Kengeri,3 BHK,,1436,2.0,2.0,55.0,12.9176571,77.4837568
Super built-up  Area,Ready To Move,Amrita Nagar,6 BHK,,4250,6.0,3.0,150.0,30.0993282,78.2865512
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645,3.0,2.0,117.0,13.0382184,77.5919
Plot  Area,Ready To Move,Kengeri,2 Bedroom,,1200,2.0,0.0,58.0,12.9176571,77.4837568
Super built-up  Area,19-Apr,Mysore Road,2 BHK,Brama P,940,2.0,1.0,43.61,12.3872141,76.6669626
Built-up  Area,Ready To Move,KR Puram,6 Bedroom,,4300,6.0,2.0,175.0,13.007516,77.695935
Super built-up  Area,20-Dec,Hebbal,3 BHK,Cehosy ,2850,5.0,3.0,343.0,13.0382184,77.5919
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,,1740,3.0,2.0,191.0,12.9732913,77.6404672
Super built-up  Area,18-May,Haralur Road,2 BHK,,1194,2.0,2.0,47.0,12.8922203,77.6558048
Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,,3761,3.0,2.0,650.0,15.3319032,75.1264697
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1829,3.0,2.0,125.0,12.96577205,77.70809738675412
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,1800,4.0,3.0,178.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Austin Town,2 BHK,,1000,2.0,1.0,60.0,12.9612736,77.6152935
Built-up  Area,Ready To Move,Venkatapura,3 Bedroom,,5720,3.0,0.0,350.0,14.0554426,74.621302
Plot  Area,Ready To Move,Vignana Nagar,5 Bedroom,,800,4.0,2.0,98.0,17.53899095,78.38522281010412
Super built-up  Area,Ready To Move,Kadabagere,2 BHK,Jahipa ,675,1.0,1.0,15.0,12.9968992,77.4332254
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Chtert ,1390,2.0,2.0,95.0,13.0382184,77.5919
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1500,3.0,2.0,104.0,Lakshminarayana Pura,Lakshminarayana Pura
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,2047,3.0,2.0,136.0,29.2436472,73.5222553
Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1202,2.0,1.0,79.0,13.0784743,77.6068938
Super built-up  Area,Ready To Move,Kodbisanhalli,2 BHK,Seityen,1012,2.0,1.0,59.0,Kodbisanhalli,Kodbisanhalli
Super built-up  Area,Ready To Move,Gunjur,3 BHK,Paestol,2132,3.0,3.0,80.0,13.17602,-16.759896
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,,1350,4.0,3.0,340.0,17.3347866,78.6008776
Super built-up  Area,Ready To Move,Whitefield,1 BHK,,605,1.0,1.0,40.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1331,2.0,1.0,88.0,12.8920326,77.6550376733177
Plot  Area,18-May,Margondanahalli,2 Bedroom,,1200,2.0,0.0,69.0,Margondanahalli,Margondanahalli
Built-up  Area,Ready To Move,Kumara Park,2 BHK,,1150,2.0,0.0,250.0,12.6623315,75.6865652
Plot  Area,Ready To Move,Sahakara Nagar,2 Bedroom,,1200,2.0,1.0,136.0,13.0621474,77.58006135480495
Built-up  Area,Ready To Move,Anand Nagar,2 Bedroom,Bebalrk,1800,2.0,0.0,300.0,18.4784897,73.8213256
Plot  Area,Ready To Move,Kammanahalli,3 Bedroom,,600,2.0,1.0,50.0,13.0093455,77.6377094
Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,Rainet ,1280,2.0,2.0,49.0,58.6509563,25.0270542
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007,2.0,1.0,62.0,12.9377243,77.7280705
Super built-up  Area,18-May,Thanisandra,3 BHK,SLityee,1370,2.0,1.0,61.0,13.054713,77.6339258
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,2.0,35.0,12.8845798,77.8609487
Super built-up  Area,Ready To Move,TC Palaya,2 BHK,,1500,2.0,0.0,75.0,13.0098552,77.6930892
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,12.5,12.7782588,77.7712834
Built-up  Area,Ready To Move,Peenya,4 Bedroom,,1200,4.0,1.0,140.0,13.0329419,77.5273253
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1341,2.0,1.0,95.0,13.0258087,77.6305067
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1350,2.0,2.0,47.25,13.0874059,77.5842414
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Sahtsva,992,2.0,1.0,60.0,13.0156809,77.554045
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,RaontWa,1163,2.0,2.0,68.0,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ceiti I,1229,2.0,2.0,70.0,12.9252241,77.6367015
Plot  Area,Ready To Move,Gowdanapalya,2 Bedroom,,600,2.0,2.0,39.0,Gowdanapalya,Gowdanapalya
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coomee ,1219,2.0,1.0,61.26,12.8468545,77.6769267
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GRvanun,1525,2.0,2.0,99.13,17.3347866,78.6008776
Super built-up  Area,20-Jun,Kasavanhalli,2 BHK,Esareap,1147,2.0,1.0,60.0,Kasavanhalli,Kasavanhalli
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1412,2.0,3.0,88.0,13.0195427,77.6831272
Plot  Area,Ready To Move,Munnekollal,9 Bedroom,,1200,9.0,3.0,215.0,Munnekollal,Munnekollal
Super built-up  Area,19-Jun,Sarjapur  Road,2 BHK,,1044,2.0,1.0,34.77,12.9252241,77.6367015
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,KohraNa,1190,2.0,2.0,63.0,12.9546741,77.5121724
Super built-up  Area,Ready To Move,Nagadevanahalli,3 BHK,,1240,2.0,2.0,65.0,12.9395391,77.4954936
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1352,3.0,1.0,65.0,12.7852528,77.6380931
Built-up  Area,Ready To Move,Ashwathnagar,2 BHK,,1100,2.0,2.0,55.0,13.026143,77.5785554
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,39.9,12.9055682,77.5455438
Super built-up  Area,20-Nov,RR Layout,3 BHK,,1700,3.0,2.0,111.0,12.9282013,77.5160934
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1355,2.0,1.0,67.0,-6.1938201,106.8920008
Super built-up  Area,18-Nov,Ramamurthy Nagar,2 BHK,Vaharvi,1200,2.0,1.0,46.0,13.0120218,77.6777817
Super built-up  Area,Ready To Move,Kengeri,1 BHK,,400,2.0,1.0,25.0,12.9176571,77.4837568
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1615,3.0,2.0,50.87,12.8746006,77.6255106
Super built-up  Area,Ready To Move,Vinayaka Nagar,2 BHK,,1340,2.0,1.0,65.0,17.3324159,78.5981032
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1200,2.0,1.0,54.0,13.0681863,77.6248026
Built-up  Area,Ready To Move,Yeshwanthpur,1 Bedroom,,400,1.0,0.0,55.0,13.021834550000001,77.54768594156756
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brrds O,1080,2.0,1.0,52.0,13.2483502,77.7134377
Super built-up  Area,Ready To Move,Gollahalli,2 BHK,SuanaNa,1600,2.0,1.0,31.0,13.7183597,77.579806
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prtor N,1200,2.0,0.0,34.0,-6.1938201,106.8920008
Plot  Area,17-Apr,Hennur Road,3 Bedroom,,2700,3.0,2.0,150.0,13.0258087,77.6305067
Built-up  Area,Ready To Move,Billapura,3 Bedroom,,1780,3.0,0.0,110.0,Billapura,Billapura
Built-up  Area,Ready To Move,Amruthahalli,3 BHK,Pranai ,1605,3.0,2.0,65.0,13.0665131,77.5966238
Super built-up  Area,17-Sep,Ulsoor,4 BHK,,7200,5.0,2.0,1584.0,12.9778793,77.6246697
Plot  Area,Ready To Move,Doddabommasandra,3 Bedroom,,646,2.0,1.0,65.0,13.0649673,77.56296570598985
Super built-up  Area,Ready To Move,Kammanahalli,2 BHK,Bhide P,1200,2.0,2.0,80.0,13.0093455,77.6377094
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,900,2.0,0.0,49.0,Margondanahalli,Margondanahalli
Built-up  Area,19-Dec,Sarjapur,3 Bedroom,,1830,3.0,1.0,88.0,12.9116225,77.6388622
Plot  Area,Ready To Move,Vishwapriya Layout,5 Bedroom,,690,4.0,1.0,83.0,Vishwapriya Layout,Vishwapriya Layout
Built-up  Area,Ready To Move,Srirampuram,1 BHK,,650,1.0,3.0,500.0,17.4345799,82.7152032
Plot  Area,Ready To Move,MS Pallya,5 Bedroom,,1800,4.0,1.0,68.0,MS Pallya,MS Pallya
Built-up  Area,Ready To Move,Chandapura,3 BHK,,715,2.0,0.0,32.0,17.4436387,77.433391
Super built-up  Area,18-Sep,Chandapura,3 BHK,SunceEs,1230,2.0,2.0,31.37,17.4436387,77.433391
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1065,2.0,1.0,42.59,12.9055682,77.5455438
Plot  Area,Ready To Move,2nd Phase JP Nagar,8 Bedroom,,1350,8.0,2.0,185.0,12.91226375,77.59045672324466
Plot  Area,Ready To Move,Srinagar,3 Bedroom,,1080,3.0,2.0,149.0,34.0747444,74.8204443
Built-up  Area,Ready To Move,KHB Colony Extension,3 BHK,,900,2.0,0.0,65.0,26.230144,-97.853458
Super built-up  Area,Ready To Move,Devasthanagalu,2 BHK,CMhidal,946,2.0,2.0,45.0,Devasthanagalu,Devasthanagalu
Super built-up  Area,Ready To Move,Laggere,1 BHK,,1500,1.0,0.0,60.0,13.0108677,77.5207301
Super built-up  Area,18-May,Sarjapur  Road,3 BHK,PualeSk,1711,3.0,1.0,110.0,12.9252241,77.6367015
Plot  Area,Ready To Move,Attur Layout,4 Bedroom,,1200,3.0,2.0,160.0,13.0994536,77.5680336
Super built-up  Area,18-Aug,Chandapura,2 BHK,SuVue S,950,2.0,1.0,25.65,17.4436387,77.433391
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Brlms P,1656,3.0,2.0,80.0,12.8895775,77.6394582
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Ayaya A,1075,2.0,1.0,46.76,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1752.12,3.0,2.0,133.0,12.8920326,77.6550376733177
Plot  Area,Ready To Move,Hebbal,8 Bedroom,,6000,8.0,0.0,220.0,13.0382184,77.5919
Super built-up  Area,Ready To Move,Kaverappa Layout,3 BHK,,1540,3.0,3.0,85.0,12.9367661,77.7008465
Plot  Area,Ready To Move,6th Phase JP Nagar,4 Bedroom,,600,4.0,3.0,125.0,6th Phase JP Nagar,6th Phase JP Nagar
Super built-up  Area,Ready To Move,LB Shastri Nagar,1 BHK,Ciisera,665,1.0,2.0,32.0,23.0639908,72.5534132
Super built-up  Area,18-Mar,Electronics City Phase 1,2 BHK,Shitt S,1145,2.0,1.0,54.0,12.8496783,77.6649749
Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1185,2.0,2.0,41.0,44.3730577,-71.6118577
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,,1200,3.0,1.0,190.0,12.91226375,77.59045672324466
Built-up  Area,Ready To Move,Marathahalli,3 BHK,Duals P,1693,3.0,2.0,125.0,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Dollars Layout,3 BHK,Toiasle,2456,3.0,3.0,220.0,13.0202654,77.5784894
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2559,3.0,2.0,403.0,18.0142278,79.55262448961471
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1155,2.0,1.0,40.6,12.9055682,77.5455438
Super built-up  Area,17-Oct,Divya Unnathi Layout,3 BHK,,1610,2.0,2.0,64.4,Divya Unnathi Layout,Divya Unnathi Layout
Plot  Area,18-Nov,Whitefield,3 Bedroom,,1200,3.0,2.0,56.58,44.3730577,-71.6118577
Plot  Area,Ready To Move,Anjana Nagar,2 Bedroom,,1530,2.0,1.0,185.0,12.9803043,77.6354911
Built-up  Area,Ready To Move,EPIP Zone,3 BHK,,1709,3.0,1.0,80.0,12.9781922,77.7246451
Plot  Area,Ready To Move,Amruthahalli,4 Bedroom,,600,4.0,0.0,60.0,13.0665131,77.5966238
Plot  Area,Ready To Move,Subramanya Nagar,1 Bedroom,,840,1.0,1.0,150.0,13.0080089,77.55724114124203
Super built-up  Area,Ready To Move,Gottigere,3 BHK,,1400,2.0,1.0,50.0,12.8565317,77.5877237
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Thisea ,1200,2.0,1.0,42.0,13.007516,77.695935
Super built-up  Area,Ready To Move,Janatha Colony,3 BHK,SGllaav,1439,3.0,1.0,57.23,12.9128181,77.7999299
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1375,2.0,2.0,72.0,Kasavanhalli,Kasavanhalli
Plot  Area,Ready To Move,BTM 2nd Stage,5 Bedroom,,2990,5.0,3.0,416.0,12.9140788,77.6188862
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,,1200,2.0,1.0,75.0,29.2436472,73.5222553
Built-up  Area,Ready To Move,Yelahanka,2 BHK,Velas V,1315,2.0,3.0,75.0,13.1006982,77.5963454
Plot  Area,18-Mar,Dommasandra,2 Bedroom,,1500,2.0,0.0,40.0,13.0974753,78.4516588
Built-up  Area,Ready To Move,Yelahanka,6 Bedroom,,3600,6.0,1.0,200.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Rancy R,1178,2.0,3.0,82.0,29.2436472,73.5222553
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1430,3.0,2.0,59.0,12.8870547,77.5969483
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1400,2.0,2.0,65.8,22.1514167,72.2282495
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1093,2.0,2.0,72.0,13.054713,77.6339258
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Bhave E,1200,2.0,1.0,45.0,13.0133409,77.6618516
Plot  Area,Ready To Move,Magadi Road,5 Bedroom,,5000,6.0,1.0,360.0,12.945048,77.263004
Built-up  Area,15-Dec,1st Block Jayanagar,3 BHK,Bhsic C,1200,2.0,0.0,130.0,12.9295069,77.5801653
Built-up  Area,18-Apr,Whitefield,3 BHK,,2210,3.0,2.0,156.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Revane ,1150,2.0,2.0,70.0,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Silk Board,3 BHK,,1435,2.0,1.0,60.0,12.9168147,77.6234688
Super built-up  Area,20-Dec,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,78.2,44.3730577,-71.6118577
